SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			开机能耗		开机时延		关机能耗		关机时延
3		5.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   8.00000       8.000      0.00000       0.000
4		2.428571		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000       0.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   3.00000       3.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   4.00000       4.000      0.00000       0.000
7		2.857143		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   5.00000       5.000      0.00000       0.000
8		1.750000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.857143		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   0.00000		   8.00000       8.000      0.00000       0.000
4		2.285714		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		   0.00000		   0.00000       0.000      0.00000       0.000
5		0.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		   0.00000		   3.00000       3.000      0.00000       0.000
6		1.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		   0.00000		   4.00000       4.000      0.00000       0.000
7		1.428571		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		   0.00000		   5.00000       5.000      0.00000       0.000
8		5.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		   0.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.000000		    1.0000		    0.0000		   -1		   31.2857		   16.0000		   15.2857		   3.00000		   8.00000       8.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   39.1429		   22.1429		   17.0000		  15.00000		   0.00000       0.000      0.00000       0.000
5		2.571429		    1.0000		    0.0000		   -1		   51.1429		   28.2857		   22.8571		  30.00000		   3.00000       3.000      0.00000       0.000
6		2.428571		    1.0000		    0.0000		   -1		   53.1429		   29.5714		   23.5714		  48.00000		   4.00000       4.000      0.00000       0.000
7		4.000000		    1.0000		    0.0000		   -1		   66.2857		   42.2857		   24.0000		  55.00000		   5.00000       5.000      0.00000       0.000
8		2.000000		    0.5714		    0.4286		    3		   71.5000		   45.0000		   26.5000		  63.00000		   2.00000       2.000      0.00000       0.000
9		   NaN		    0.0000		    1.0000		    0		       NaN		       NaN		       NaN		  63.00000		   0.00000       0.000      0.00000       0.000
7		1.285714		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.000000		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		5.714286		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.428571		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		2.714286		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		1.571429		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		3.571429		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.571429		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.857143		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.285714		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		2.571429		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		1.857143		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		6.857143		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		2.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.142857		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   0.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		3.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		   0.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		1.714286		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		1.857143		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		   0.00000		   0.00000		   0.00000       0.000      0.00000       0.000
7		1.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		   0.00000		   0.00000		   1.00000       1.000      0.00000       0.000
8		2.000000		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		   0.00000		   0.00000		   1.00000       1.000      0.00000       0.000
9		2.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		   0.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.428571		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		6.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  14.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.714286		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  34.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.571429		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  49.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		2.571429		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  67.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		3.714286		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  86.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		3.000000		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		 122.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		7.857143		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		   6.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		3.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		   8.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.142857		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  20.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		1.714286		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  15.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  18.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  19.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.571429		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  36.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.857143		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		4.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  13.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		1.857143		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		3.857143		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.857143		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		1.857143		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  23.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.428571		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.285714		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		2.857143		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  13.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		2.714286		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.000000		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.571429		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		1.857143		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  23.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.142857		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.857143		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   0.00000       0.000      0.00000       0.000
4		3.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  13.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		2.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.285714		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  21.00000		   3.00000		   0.00000       0.000      0.00000       0.000
7		1.571429		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  24.00000		   3.00000		   0.00000       0.000      0.00000       0.000
8		2.000000		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  23.00000		   5.00000		   0.00000       0.000      0.00000       0.000
9		2.285714		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  45.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		5.142857		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		1.714286		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  13.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		2.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.142857		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.571429		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  23.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.285714		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.000000		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		4.142857		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  13.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		1.857143		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		1.714286		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.000000		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  23.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.285714		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.428571		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		0.000000		    1.0000		    0.0000		   -1		   43.5714		   23.7143		   19.8571		  13.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		0.000000		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		4.428571		    1.0000		    0.0000		   -1		   59.4286		   33.0000		   26.4286		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		4.428571		    1.0000		    0.0000		   -1		   68.7143		   39.1429		   29.5714		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  23.00000		   0.00000		   1.00000       1.000      5.00000       5.000
9		2.285714		    1.0000		    0.0000		   -1		   85.4286		   49.5714		   35.8571		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		2.857143		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		1.571429		    1.0000		    0.0000		   -1		   43.4286		   23.7143		   19.7143		  13.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		2.142857		    1.0000		    0.0000		   -1		   59.0000		   33.0000		   26.0000		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		2.285714		    1.0000		    0.0000		   -1		   68.8571		   39.1429		   29.7143		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		2.142857		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  24.00000		   0.00000		   1.00000       1.000      4.00000       4.000
9		0.000000		    1.0000		    0.0000		   -1		   85.0000		   49.5714		   35.4286		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		3.000000		    1.0000		    0.0000		   -1		   30.1429		   15.4286		   14.7143		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		1.571429		    1.0000		    0.0000		   -1		   43.4286		   23.7143		   19.7143		  13.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		1.142857		    1.0000		    0.0000		   -1		   48.7143		   25.2857		   23.4286		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		1.285714		    1.0000		    0.0000		   -1		   59.0000		   33.0000		   26.0000		  21.00000		   0.00000		   0.00000       0.000      3.00000       3.000
7		1.285714		    1.0000		    0.0000		   -1		   68.8571		   39.1429		   29.7143		  24.00000		   0.00000		   1.00000       1.000      3.00000       3.000
8		1.285714		    1.0000		    0.0000		   -1		   79.2857		   47.5714		   31.7143		  24.00000		   0.00000		   1.00000       1.000      4.00000       4.000
9		2.142857		    1.0000		    0.0000		   -1		   85.0000		   49.5714		   35.4286		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		2.714286		    1.0000		    0.0000		   -1		  164.2857		   47.4286		  116.8571		  11.00000		   0.00000		   9.00000       9.000      0.00000       0.000
4		1.714286		    1.0000		    0.0000		   -1		  229.2857		   62.5714		  166.7143		  13.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		1.142857		    1.0000		    0.0000		   -1		  238.4286		   62.4286		  176.0000		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		1.285714		    1.0000		    0.0000		   -1		  313.1429		   92.7143		  220.4286		  28.00000		   0.00000		   3.00000       3.000      0.00000       0.000
7		1.571429		    1.0000		    0.0000		   -1		  319.2857		  104.2857		  215.0000		  31.00000		   0.00000		   2.00000       2.000      0.00000       0.000
8		1.857143		    1.0000		    0.0000		   -1		  349.2857		  115.2857		  234.0000		  33.00000		   0.00000		   0.00000       0.000      0.00000       0.000
9		3.000000		    1.0000		    0.0000		   -1		  418.1429		  134.1429		  284.0000		  49.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		4.571429		    1.0000		    0.0000		   -1		  164.4286		   47.4286		  117.0000		  10.00000		   1.00000		   9.00000       9.000      0.00000       0.000
4		2.142857		    1.0000		    0.0000		   -1		  234.4286		   62.5714		  171.8571		  13.00000		   0.00000		   1.00000       1.000      0.00000       0.000
5		2.285714		    1.0000		    0.0000		   -1		  235.2857		   62.4286		  172.8571		  31.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		0.000000		    1.0000		    0.0000		   -1		  306.7143		   92.7143		  214.0000		  22.00000		   0.00000		   1.00000       1.000      2.00000       2.000
7		2.142857		    1.0000		    0.0000		   -1		  321.0000		  104.2857		  216.7143		  24.00000		   0.00000		   0.00000       0.000      3.00000       3.000
8		2.285714		    1.0000		    0.0000		   -1		  351.4286		  115.2857		  236.1429		  24.00000		   0.00000		   1.00000       1.000      4.00000       4.000
9		2.285714		    1.0000		    0.0000		   -1		  418.5714		  134.1429		  284.4286		  45.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		1.300000		    1.0000		    0.0000		   -1		  162.7600		   43.2000		  119.5600		 451.00000		  17.00000		  26.00000      26.000     34.00000      34.000
4		1.240000		    1.0000		    0.0000		   -1		  199.2300		   58.9500		  140.2800		 592.00000		   0.00000		   0.00000       0.000      0.00000       0.000
5		1.400000		    1.0000		    0.0000		   -1		  252.9600		   71.3500		  181.6100		 670.00000		   0.00000		   0.00000       0.000      0.00000       0.000
6		0.500000		    1.0000		    0.0000		   -1		  288.9900		   85.8900		  203.1000		 748.00000		   0.00000		   1.00000       1.000     38.00000      38.000
7		0.750000		    1.0000		    0.0000		   -1		  337.4800		  103.8500		  233.6300		 896.00000		   0.00000		   1.00000       1.000      7.00000       7.000
8		0.930000		    1.0000		    0.0000		   -1		  374.0600		  118.6700		  255.3900		1020.00000		   0.00000		   2.00000       2.000      0.00000       0.000
9		0.800000		    1.0000		    0.0000		   -1		  398.3600		  129.2200		  269.1400		1078.00000		   0.00000		   2.00000       2.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.927000		    1.0000		    0.0000		   -1		  163.2530		   43.8130		  119.4400		4988.00000		 185.00000		 193.00000     193.000    165.00000     165.000
4		0.540000		    1.0000		    0.0000		   -1		  205.6180		   58.0960		  147.5220		6367.00000		  66.00000		  66.00000      66.000      0.00000       0.000
5		0.973000		    1.0000		    0.0000		   -1		  247.2030		   72.0440		  175.1590		7106.00000		  60.00000		  61.00000      61.000      0.00000       0.000
6		0.627000		    1.0000		    0.0000		   -1		  291.5710		   87.4570		  204.1140		8162.00000		  63.00000		  64.00000      64.000      0.00000       0.000
7		0.720000		    1.0000		    0.0000		   -1		  330.3480		  101.7530		  228.5950		9593.00000		  48.00000		  50.00000      50.000     15.00000      15.000
8		0.938000		    1.0000		    0.0000		   -1		  369.6730		  115.5840		  254.0890		10505.00000		  50.00000		  51.00000      51.000      0.00000       0.000
9		1.172172		    0.9990		    0.0010		  341		  407.7267		  129.9990		  277.7277		11850.00000		  20.00000		  22.00000      22.000      0.00000       0.000
10		1.035105		    0.9970		    0.0030		  665		  451.1976		  145.1625		  306.0351		13164.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.813627		    0.9980		    0.0020		   56		  485.1603		  159.6222		  325.5381		14282.00000		   0.00000		   0.00000       0.000      0.00000       0.000
12		1.283852		    0.9970		    0.0030		  599		  523.1755		  173.9137		  349.2618		15051.00000		   0.00000		   2.00000       2.000      0.00000       0.000
13		1.208417		    0.9980		    0.0020		  268		  562.6473		  188.9299		  373.7174		16107.00000		   0.00000		   1.00000       1.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.847000		    1.0000		    0.0000		   -1		  163.6910		   43.2630		  120.4280		5134.00000		 100.00000		 108.00000     108.000     96.00000      96.000
4		0.690000		    1.0000		    0.0000		   -1		  208.3260		   57.1270		  151.1990		6590.00000		  46.00000		  48.00000      48.000      0.00000       0.000
5		0.658000		    1.0000		    0.0000		   -1		  254.5520		   72.2150		  182.3370		6956.00000		   0.00000		   1.00000       1.000      0.00000       0.000
6		0.654000		    1.0000		    0.0000		   -1		  294.8360		   86.7280		  208.1080		7960.00000		   1.00000		   3.00000       3.000      1.00000       1.000
7		0.592000		    1.0000		    0.0000		   -1		  336.7350		  101.4330		  235.3020		9395.00000		   0.00000		   2.00000       2.000      0.00000       0.000
8		1.096289		    0.9970		    0.0030		   54		  372.3089		  114.7673		  257.5416		10479.00000		   0.00000		   1.00000       1.000      0.00000       0.000
9		0.864171		    0.9350		    0.0650		   13		  414.7102		  130.5615		  284.1487		11017.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		0.861573		    0.9030		    0.0970		   19		  452.4053		  145.8582		  306.5471		11988.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.958057		    0.9060		    0.0940		    9		  495.9382		  159.7704		  336.1678		13190.00000		   0.00000		   2.00000       2.000      0.00000       0.000
12		1.831486		    0.9020		    0.0980		   13		  533.5942		  173.9933		  359.6009		14007.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		1.206013		    0.8980		    0.1020		    8		  575.0880		  188.3564		  386.7316		14681.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.645000		    1.0000		    0.0000		   -1		  163.6910		   43.2630		  120.4280		5134.00000		 196.00000		   9.00000       9.000      0.00000       0.000
4		0.434000		    1.0000		    0.0000		   -1		  208.3260		   57.1270		  151.1990		6590.00000		  46.00000		   1.00000       1.000      0.00000       0.000
5		0.586000		    1.0000		    0.0000		   -1		  254.5520		   72.2150		  182.3370		6956.00000		   0.00000		   1.00000       1.000      0.00000       0.000
6		0.710000		    1.0000		    0.0000		   -1		  294.8360		   86.7280		  208.1080		7960.00000		   2.00000		   2.00000       2.000      0.00000       0.000
7		0.575000		    1.0000		    0.0000		   -1		  336.7350		  101.4330		  235.3020		9395.00000		   0.00000		   2.00000       2.000      0.00000       0.000
8		0.974925		    0.9970		    0.0030		   54		  372.3089		  114.7673		  257.5416		10479.00000		   0.00000		   1.00000       1.000      0.00000       0.000
9		0.782888		    0.9350		    0.0650		   13		  414.7102		  130.5615		  284.1487		11017.00000		   0.00000		   0.00000       0.000      0.00000       0.000
10		0.933555		    0.9030		    0.0970		   19		  452.4053		  145.8582		  306.5471		11988.00000		   0.00000		   2.00000       2.000      0.00000       0.000
11		0.947020		    0.9060		    0.0940		    9		  495.9382		  159.7704		  336.1678		13190.00000		   0.00000		   2.00000       2.000      0.00000       0.000
12		1.466741		    0.9020		    0.0980		   13		  533.5942		  173.9933		  359.6009		14007.00000		   0.00000		   0.00000       0.000      0.00000       0.000
13		1.386414		    0.8980		    0.1020		    8		  575.0880		  188.3564		  386.7316		14681.00000		   0.00000		   0.00000       0.000      0.00000       0.000
SFC长度	时间（ms）				成功率			阻塞率		第一次阻塞			总资源			节点资源			链路资源			工作能耗			空载能耗			开机能耗		开机时延		关机能耗		关机时延
3		0.657000		    1.0000		    0.0000		   -1		  163.6910		   43.2630		  120.4280		5134.00000		 196.00000		   9.00000       9.000      0.00000       0.000
4		0.530000		    1.0000		    0.0000		   -1		  208.3260		   57.1270		  151.1990		6590.00000		  46.00000		   1.00000       1.000      0.00000       0.000
5		0.579000		    1.0000		    0.0000		   -1		  254.5520		   72.2150		  182.3370		6956.00000		   0.00000		   1.00000       1.000      0.00000       0.000
